artigoEmPeriodico	 	2017	1806-9657		ORGANIC MATTER STOCKS AND THE INTERACTIONS OF HUMIC SUBSTANCES WITH ARAUCARIA MOIST FOREST SOIL METALS WITH HUMIC AND HÍSTIC HORIZONS. REVISTA BRASILEIRA DE CIENCIA DO SOLO	REVISTA BRASILEIRA DE CIÊNCIA DO SOLO (ONLINE)	HANKE, D.; DICK, D. P.	A2	REVISTA BRASILEIRA DE CIÊNCIAS DO ESPORTE (ONLINE)
artigoEmPeriodico	 	2017	1809-1636		Concepções dos Acadêmicos de Licenciatura em Ciências da Natureza sobre o Tema Cores e Processos de Ensino e Aprendizagem	VIVÊNCIAS (URI. ERECHIM)	KRAISIG, A. R. ; BRAIBANTE, M. E. F. ; PAZINATO, M. S.	B5	
artigoEmPeriodico	 	2017	2175-0157	http://dx.doi.org/10.22295/grifos.v25i41.3663	Educação escolar indígena, intercultura e Humberto Maturana: entre cultura e saberes	REVISTA GRIFOS	MADERS; BARCELOS, V. H. L.	C	
artigoEmPeriodico	 	2017	0212-4521		Concepções alternativas sobre Forças Intermoleculares: um estudo a partir das publicações da área de Ensino	Ensenanza de Las Ciencias	MIRANDA, A. C. G. ; BRAIBANTE, M. E. F. ; PAZINATO, M. S.	A1	ENSEÑANZA DE LAS CIENCIAS
artigoEmPeriodico	 	2017	2238-2380		Temas geradores através de uma abordagem temática freireana: contribuições para o Ensino de Ciências	REVISTA DE EDUCAÇÃO, CIÊNCIAS E MATEMÁTICA	MIRANDA, A. C. G. ; PAZINATO, M. S. ; BRAIBANTE, M. E. F.	B2	
artigoEmPeriodico	 	2017	2238-2380		GENERATING THEMES THROUGH A FREIRE?S THEMATIC: CONTRIBUTIONS TO SCIENCE TEACHIN	REVISTA DE EDUCAÇÃO, CIÊNCIAS E MATEMÁTICA	MIRANDA, A. C. G.; PAZINATO, M. S. ; BRAIBANTE, M. E. F.	B2	
artigoEmPeriodico	 	2017	1179-3155	http://dx.doi.org/10.11646/phytotaxa.316.2.6	Resurrection and epitypification of Butia poni (Arecaceae), a neglected palm micro-endemic in the grasslands of Misiones, Argentina	Phytotaxa	PAZ DEBLE, LEONARDO; KELLER, HECTOR A. ; ALVES, Fabiano da Silva	Qualis nao identificado	Phytotaxa
artigoEmPeriodico	 	2017	0212-4521		Estabilidade química: um obstáculo para a construção do conhecimento em ligações químicas	Ensenanza de Las Ciencias	PAZINATO, M. S. ; BRAIBANTE, M. E. F. ; MIRANDA, A. C. G.	A1	ENSEÑANZA DE LAS CIENCIAS
artigoEmPeriodico	 	2017	1982-2413		Nail polish: a theme for the construction of chemical knowledge of organic functions	EXPERIÊNCIAS EM ENSINO DE CIÊNCIAS (UFRGS)	REIS, M. T. ; BRAIBANTE, M. E. F. ; MIRANDA, A. C. G.	B1	
artigoEmPeriodico	 	2017	2457-1024		Bioethanol Production from Residual Tobacco Stalks	Current Journal of Applied Science and Technology	SCHNEIDER, ROSANA C.S. ; ANACKER, L. A. ; SZARBLEWSKI, M. S. ; SILVA, L. F. F. ; MORAES, MARIA S.A. ; CORBELLINI, VALERIANO A.	Qualis nao identificado	Current Journal of Applied Science and Technology
artigoEmPeriodico	 	2017	2447-6099		Percepções dos licenciandos em Ciências da Natureza sobre aminoácidos e proteínas	REVISTA DEBATES EM ENSINO DE QUÍMICA	SILVA, L. D. ; MAIA, A. F. ; PAZINATO, M. S. ; SUDATI, J. H.	B5	
artigoEmPeriodico	 	2017	2447-6099		Esmaltes de Unhas como Temática para o Ensino de Ciências da Natureza	REVISTA DEBATES EM ENSINO DE QUÍMICA	SILVA, L. G. ; BIERHALZ, Crisna Daniela K.	B5	
artigoEmPeriodico	 	2017	1806-1230	http://dx.doi.org/10.5020/18061230.2017.p5	Promovendo educa??o em sa?de no espa?o n?o formal de aprendizagem	REVISTA BRASILEIRA EM PROMOÇÃO DA SAÚDE (ONLINE)	SOARES GUERIN, CINTIA ; COUTINHO, CADIDJA ; MARTINS DAMACENO, FELIPPE ; MARTINS SOARES, NANDRA ; PIRES FRIGO, JIAM ; MARTINS SOARES, LIZANDRA	B5	
artigoEmPeriodico	 	2017	1809-3264		A concepção dos educandos da educação de jovens e adultos sobre portfólio	Revista Querubim (Online)	STOLL, V. G. ; BIERHALZ, Crisna Daniela K.	B3	REVISTA QUERUBIM (ONLINE)
artigoEmPeriodico	 	2017	0048-9697	http://dx.doi.org/10.1016/j.scitotenv.2016.12.184	Fenton process on single and mixture components of phenothiazine pharmaceuticals: Assessment of intermediaries, fate, and preliminary ecotoxicity	Science of the Total Environment	WILDE, MARCELO L.; SCHNEIDER, MANDY ; KÜMMERER, KLAUS	Qualis nao identificado	Science of the Total Environment
artigoEmPeriodico	 	2016	2406-6168		Woody cuttings of `Niagara Branca? and `Niagara Rosada? rustic grapes	10.17660/ActaHortic.2016.1115.37	AGUILA, J. S. ; ZANELLA, A. ; PINHEIRO, A.D. ; RADMANN, E.B. ; AGUILA, L. S. H.	Qualis nao identificado	10.17660/ActaHortic.2016.1115.37
artigoEmPeriodico	 	2016	2448-4148		Orientações sobre o descarte seguro de medicamentos: uma investigação em sala de aula	Revista Multiciência Online	ASSIS, J. N. M. ; DONINI, E. K. ; COUTINHO, C. ; ALBERTI, F. F.	Qualis nao identificado	Revista Multiciência Online
